secFrom	langTo	prob	count	rank
أخرى	Other	0.9965040683746338	19	1.0
أخرى	Other uses	0.9522314667701721	7	2.0
أخرى	See also	0.5164162516593933	29	3.0
أخرى	References	0.19933758676052094	23	4.0
أخرى	Places	0.025009261444211006	7	5.0
أداء الأصوات	Voice cast	0.9524036049842834	7	1.0
أداء الأصوات	Production	0.13213682174682617	9	2.0
أداء الأصوات	Reception	0.02831449545919895	12	3.0
أداء الأصوات	References	0.02479899674654007	13	4.0
أداء الأصوات	Release	0.01890404522418976	10	5.0
أدبه	Works	0.18713460862636566	8	1.0
أدبه	References	0.02960217371582985	16	2.0
أدبه	Biography	0.024119123816490173	6	3.0
أدبه	See also	0.02228759415447712	7	4.0
أدواره في ألعاب الفيديو	Notable voice roles	0.1783442199230194	8	1.0
أدواره في ألعاب الفيديو	Awards	0.14853143692016602	8	2.0
أدواره في ألعاب الفيديو	Career	0.11369036138057709	28	3.0
أدواره في ألعاب الفيديو	Successors	0.10457219183444977	8	4.0
أدواره في ألعاب الفيديو	Filmography	0.06351888924837112	246	5.0
أدواره في الأنمي	Voice roles	0.6486791372299194	20	1.0
أدواره في الأنمي	Filmography	0.5323279500007629	290	2.0
أدواره في الأنمي	Notable voice roles	0.46711650490760803	9	3.0
أدواره في الأنمي	Career	0.21949037909507751	33	4.0
أدواره في الأنمي	Biography	0.13152451813220978	24	5.0
أدواره في التلفزيون الأمريكي	Early life	0.1284797489643097	6	1.0
أدواره في التلفزيون الأمريكي	Career	0.11839575320482254	8	2.0
أدواره في التلفزيون الأمريكي	Filmography	0.11204545199871063	8	3.0
أدواره في التلفزيون الأمريكي	Personal life	0.07286384701728821	7	4.0
أدواره في التلفزيون الأمريكي	References	0.03937710076570511	10	5.0
أدواره في الدبلجة اليابانية	Notable voice roles	0.2984551191329956	7	1.0
أدواره في الدبلجة اليابانية	Filmography	0.15661047399044037	188	2.0
أدواره في الدبلجة اليابانية	Voice roles	0.14165471494197845	11	3.0
أدواره في الدبلجة اليابانية	Successors	0.134456068277359	8	4.0
أدواره في الدبلجة اليابانية	Awards	0.12051151692867279	7	5.0
أدواره في الرسوم المتحركة	Filmography	0.18927504122257233	46	1.0
أدواره في الرسوم المتحركة	Career	0.0833127498626709	21	2.0
أدواره في الرسوم المتحركة	Awards and nominations	0.04701657220721245	6	3.0
أدواره في الرسوم المتحركة	Early life	0.046713054180145264	13	4.0
أدواره في الرسوم المتحركة	Personal life	0.044596001505851746	20	5.0
أدواره في السينما الأمريكية	Awards and nominations	0.6798360347747803	6	1.0
أدواره في السينما الأمريكية	Filmography	0.19014376401901245	25	2.0
أدواره في السينما الأمريكية	Career	0.16706541180610657	20	3.0
أدواره في السينما الأمريكية	Early life	0.07071047276258469	16	4.0
أدواره في السينما الأمريكية	Personal life	0.04854651540517807	18	5.0
أدوارها في ألعاب الفيديو	Awards	0.13920851051807404	11	1.0
أدوارها في ألعاب الفيديو	References	0.08722183108329773	213	2.0
أدوارها في ألعاب الفيديو	Career	0.06704999506473541	14	3.0
أدوارها في ألعاب الفيديو	Filmography	0.062592513859272	203	4.0
أدوارها في ألعاب الفيديو	Voice roles	0.06059284508228302	11	5.0
أدوارها في الأنمي	Voice roles	0.8409216403961182	15	1.0
أدوارها في الأنمي	Filmography	0.442050576210022	232	2.0
أدوارها في الأنمي	Biography	0.15516506135463715	36	3.0
أدوارها في الأنمي	Career	0.04275479540228844	19	4.0
أدوارها في الأنمي	References	0.02117353305220604	247	5.0
أدوارها في الدبلجة اليابانية	Awards	0.12051151692867279	7	1.0
أدوارها في الدبلجة اليابانية	References	0.07775305211544037	108	2.0
أدوارها في الدبلجة اليابانية	Filmography	0.07218968123197556	105	3.0
أدوارها في الدبلجة اليابانية	Discography	0.04499967768788338	33	4.0
أدوارها في الدبلجة اليابانية	Personal life	0.020868651568889618	7	5.0
أدوارها في الرسوم المتحركة	Filmography	0.12121531367301941	11	1.0
أدوارها في الرسوم المتحركة	References	0.022686373442411423	12	2.0
أرقام	References	0.045314062386751175	20	1.0
أرقام	See also	0.029161103069782257	12	2.0
أرقام	International career	0.02642572671175003	7	3.0
أرقام	Club career	0.0255361869931221	6	4.0
أرقام	History	0.020665477961301804	6	5.0
أرقام شخصية	Personal bests	0.9699000120162964	6	1.0
أرقام قياسية	Records	0.9501254558563232	8	1.0
أرقام قياسية	References	0.05372341722249985	32	2.0
أرقام قياسية	History	0.019178204238414764	16	3.0
أرقام قياسية	See also	0.011076223105192184	22	4.0
أرقام وإحصائيات	References	0.5067908763885498	6	1.0
أساتذة بارزون	Academics	0.31184887886047363	14	1.0
أساتذة بارزون	Notable alumni	0.09480875730514526	6	2.0
أساتذة بارزون	Campuses	0.08303383737802505	7	3.0
أساتذة بارزون	Notable people	0.06710003316402435	6	4.0
أساتذة بارزون	Campus	0.05741535872220993	12	5.0
أساتذته	Life	0.045567285269498825	8	1.0
أساتذته	See also	0.023505423218011856	24	2.0
أساتذته	References	0.023178379982709885	21	3.0
أساتذته	Biography	0.016094142571091652	11	4.0
أساطير	References	0.11113110929727554	8	1.0
أساطير	See also	0.02054993249475956	6	2.0
أسباب	Causes	0.9792836308479309	19	1.0
أسباب	Diagnosis	0.1471656858921051	12	2.0
أسباب	Signs and symptoms	0.07915883511304855	13	3.0
أسباب	Treatment	0.03329572081565857	13	4.0
أسباب	Epidemiology	0.024993108585476875	6	5.0
أسباب الثورة	References	0.015564442612230778	7	1.0
أسباب الحرب	Background	0.12570364773273468	7	1.0
أسباب الحرب	See also	0.024426288902759552	8	2.0
أسباب الحرب	References	0.017244668677449226	9	3.0
أسباب المرض	Causes	0.9430989027023315	13	1.0
أسباب المرض	Diagnosis	0.7909514307975769	23	2.0
أسباب المرض	Prognosis	0.6860470771789551	11	3.0
أسباب المرض	Cause	0.6707437038421631	9	4.0
أسباب المرض	Pathophysiology	0.6192036271095276	11	5.0
أسباب المعركة	Battle	0.8295398950576782	6	1.0
أسباب المعركة	Aftermath	0.18814703822135925	11	2.0
